ipa_funding,ma_premium,ma_risk_score,mbr_with_rx_rebates,partd_premium,pcp_cap,pcp_ffs,plan_premium,prof,reinsurance,risk_score_partd,rx,rx_rebates,rx_with_rebates,rx_without_rebates,spec_cap
2721.85,3611.21,2.02,632.13,82.13,474.83,0.0,3507.0,0.0,7.92,0.0,0.0,0.0,0.0,0.0,843.78
5060.21,6817.97,5.24,2535.98,205.93,457.04,0.0,6204.84,0.0,8.13,0.0,11289.69,0.0,10688.46,10859.82,906.77
3159.82,3443.32,3.17,595.96,59.13,482.63,0.0,4012.46,0.0,7.92,0.0,0.0,0.0,0.0,0.0,815.84
9563.23,11015.31,9.92,181.95,265.65,469.04,0.0,9770.61,0.0,8.3,0.0,73.88,0.0,62.87,64.91,846.26
17456.26,17590.58,25.55,810.83,210.62,527.98,0.0,19976.13,8875.8,8.9,0.0,522.48,0.0,517.56,606.01,867.55
8569.31,10600.84,11.11,200.25,247.48,551.88,0.0,10034.33,0.0,9.1,0.0,0.0,0.0,0.0,0.0,823.63
2613.62,3371.91,2.73,580.98,82.05,553.71,0.0,3227.26,0.0,8.2,0.0,0.0,0.0,0.0,0.0,786.81
6222.43,7798.33,9.29,258.46,234.65,517.06,0.0,7337.44,0.0,9.28,0.0,0.0,0.0,0.0,0.0,794.05
10732.82,13084.78,13.74,179.22,261.11,460.41,0.0,12942.04,0.0,8.32,0.0,0.0,0.0,0.0,0.0,823.63
3762.63,4086.72,4.42,470.73,120.94,459.14,0.0,4391.14,0.0,8.87,0.0,0.0,0.0,0.0,0.0,786.09
5211.1,6210.33,6.36,308.85,193.83,459.98,0.0,6788.1,0.0,8.44,0.0,0.0,0.0,0.0,0.0,836.41
6719.15,7351.09,10.3,248.51,192.8,463.39,0.0,7367.69,0.0,8.77,0.0,72.33,0.0,72.55,72.55,847.09
3764.29,4526.4,4.85,415.1,113.1,467.73,0.0,4619.9,0.0,9.17,0.0,0.0,0.0,0.0,0.0,864.93
4964.84,4976.93,6.17,335.66,221.03,476.64,0.0,6204.08,0.0,8.0,0.0,0.0,0.0,0.0,0.0,877.25
2668.87,3135.35,3.22,767.36,153.05,553.71,0.0,3653.64,0.0,8.82,0.0,220.96,0.0,237.97,228.11,788.97
2996.55,3485.57,2.55,560.68,80.49,509.16,0.0,3037.97,0.0,8.13,0.0,0.0,0.0,0.0,0.0,858.05
8222.69,9443.96,9.76,218.52,913.87,504.03,0.0,9071.13,0.0,9.19,0.0,145.61,0.0,146.34,140.15,786.09
4098.8,4638.88,5.41,450.4,215.88,457.46,0.0,4861.01,0.0,8.88,0.0,210.55,0.0,201.06,192.91,812.76
7045.38,7351.02,7.46,469.19,274.25,520.29,0.0,7139.96,1531.53,7.99,0.0,0.0,0.0,0.0,0.0,818.94
7881.42,7879.05,8.38,254.02,234.96,473.04,0.0,7913.07,0.0,9.33,0.0,0.0,0.0,0.0,0.0,842.13
3821.61,4094.1,4.92,453.3,115.99,508.65,0.0,4436.93,0.0,8.37,0.0,0.0,0.0,0.0,0.0,833.18
3948.75,4467.18,4.41,444.95,742.0,541.13,0.0,4889.9,0.0,9.25,0.0,0.0,0.0,0.0,0.0,838.04
8657.54,10739.56,9.88,262.47,453.03,513.87,0.0,11752.93,0.0,8.55,0.0,107.83,0.0,119.19,108.78,901.09
12364.28,14375.69,16.04,135.92,172.56,508.13,0.0,14247.33,0.0,8.49,0.0,0.0,0.0,0.0,0.0,847.09
3000.79,3214.04,2.89,552.77,87.89,547.65,0.0,3623.41,0.0,8.54,0.0,0.0,0.0,0.0,0.0,876.36
9700.54,10655.81,12.49,257.1,329.07,455.79,0.0,10550.91,0.0,8.65,0.0,187.95,0.0,193.46,204.23,882.64
4849.97,5055.48,4.37,3523.86,199.09,497.02,0.0,5229.48,0.0,8.79,0.0,12753.16,0.0,13866.12,13189.06,957.09
6178.51,7403.55,8.37,381.06,110.25,525.21,0.0,6777.5,0.0,9.12,0.0,391.08,0.0,399.22,352.94,785.37
17039.31,20076.41,20.32,134.73,628.75,555.56,0.0,17773.25,0.0,8.61,0.0,0.0,0.0,0.0,0.0,859.76
4750.37,5259.9,4.29,378.39,65.35,506.59,0.0,5264.98,0.0,9.15,0.0,0.0,0.0,0.0,0.0,826.0
9157.07,10430.37,13.24,166.14,178.57,457.46,0.0,10552.59,0.0,8.55,0.0,0.0,0.0,0.0,0.0,882.64
14930.36,20149.57,22.25,199.15,699.89,477.55,0.0,18402.96,0.0,9.11,0.0,1351.33,0.0,1532.96,1526.39,878.15
9914.22,12332.69,11.6,216.42,474.56,502.01,0.0,13003.35,0.0,9.3,0.0,374.14,0.0,343.14,382.08,862.34
13428.64,14507.59,15.46,119.97,379.05,542.3,0.0,14403.05,0.0,8.66,0.0,0.0,0.0,0.0,0.0,864.07
10412.54,13197.97,19.17,201.86,213.25,470.81,0.0,13508.98,0.0,8.33,0.0,243.12,0.0,240.22,243.85,903.92
6195.86,6356.65,6.13,343.17,174.91,455.79,0.0,6383.36,0.0,8.65,0.0,303.13,0.0,302.79,252.47,873.7
2661.96,3150.69,2.6,570.4,52.4,477.1,0.0,3431.69,0.0,8.52,0.0,0.0,0.0,0.0,0.0,948.67
4765.41,6381.14,6.86,394.6,78.22,523.56,0.0,5694.16,0.0,7.94,0.0,0.0,0.0,0.0,0.0,813.53
25433.78,27839.25,35.44,385.93,595.07,537.63,0.0,29082.72,3197.58,8.42,0.0,4727.12,0.0,4746.47,4215.73,826.0
8185.7,8925.2,9.8,204.04,239.32,530.22,0.0,8533.46,0.0,8.79,0.0,0.0,0.0,0.0,0.0,879.04
14771.94,16151.09,20.83,167.04,220.35,473.04,0.0,19942.08,0.0,8.73,0.0,122.51,0.0,125.99,113.77,908.68
2635.0,3087.13,2.77,614.7,72.35,458.72,0.0,3524.38,0.0,8.05,0.0,0.0,0.0,0.0,0.0,864.93
11299.7,13723.9,16.21,142.52,241.53,548.25,0.0,15708.77,0.0,9.12,0.0,0.0,0.0,0.0,0.0,889.01
6600.71,6948.0,9.34,242.99,159.26,459.56,0.0,8188.84,0.0,8.85,0.0,0.0,0.0,0.0,0.0,914.46
6527.1,7022.87,9.17,257.3,149.33,548.25,0.0,7965.03,0.0,9.06,0.0,0.0,0.0,0.0,0.0,788.97
8741.19,8639.48,8.83,668.65,439.44,529.1,0.0,10384.04,0.0,8.33,0.0,3792.41,0.0,3413.17,3549.95,847.93
4238.57,4530.07,3.04,436.25,59.63,516.0,0.0,5141.02,0.0,9.51,0.0,35.41,0.0,39.97,37.7,842.95
9767.23,13022.0,15.79,165.48,820.21,488.76,0.0,11767.75,0.0,9.36,0.0,171.02,0.0,155.68,153.7,823.63
3519.17,4209.86,4.39,610.19,116.49,468.16,0.0,4142.86,0.0,9.59,0.0,0.0,0.0,0.0,0.0,826.79
7579.24,10011.1,8.89,228.9,201.21,463.39,0.0,9741.72,0.0,9.39,0.0,120.44,0.0,129.13,122.11,901.09
3965.27,5388.35,5.08,637.95,167.35,476.19,0.0,4856.08,0.0,8.31,0.0,849.95,0.0,830.26,943.15,823.63
6535.69,7260.91,6.88,387.05,113.32,469.92,0.0,7023.51,0.0,8.96,0.0,305.81,0.0,258.87,308.15,812.0
4994.76,6538.39,5.43,374.77,127.94,483.09,0.0,5979.11,0.0,9.58,0.0,0.0,0.0,0.0,0.0,882.64
6687.49,8485.18,6.94,291.21,333.58,503.02,0.0,8508.89,0.0,8.65,0.0,245.54,0.0,241.87,278.88,822.06
6925.6,7338.79,8.83,2690.9,272.01,469.92,0.0,8227.35,0.0,9.26,0.0,13578.86,0.0,14515.8,15042.28,943.48
10254.21,11459.84,12.68,557.76,394.34,533.05,0.0,12507.04,0.0,8.39,0.0,3913.73,0.0,4028.25,4283.26,869.29
6363.41,8468.18,9.89,293.17,139.66,454.55,0.0,7519.63,0.0,8.94,0.0,0.0,0.0,0.0,0.0,789.69
26040.0,27322.71,36.98,91.9,735.41,524.66,0.0,27522.53,0.0,8.79,0.0,466.65,0.0,511.87,462.16,891.77
4971.87,5638.32,5.07,381.61,307.38,492.61,0.0,5366.03,278.47,9.26,0.0,0.0,0.0,0.0,0.0,858.9
12309.87,13786.7,14.17,143.32,307.25,544.66,0.0,14041.73,0.0,9.53,0.0,69.73,0.0,67.19,61.47,826.79
10597.04,11542.91,15.73,498.37,216.33,552.49,0.0,12564.55,0.0,9.14,0.0,4166.59,0.0,3661.55,3665.02,786.81
5232.48,5923.73,5.71,356.96,272.22,473.04,0.0,6096.48,0.0,8.96,0.0,432.02,0.0,437.25,424.0,912.53
43965.67,43457.05,48.03,862.64,691.94,523.56,0.0,52110.53,0.0,9.48,0.0,27513.95,0.0,30963.89,32025.88,957.09
7340.05,10266.89,10.29,212.65,180.07,507.61,0.0,10169.4,0.0,8.34,0.0,0.0,0.0,0.0,0.0,934.28
4765.62,5976.61,5.84,331.79,128.39,454.96,0.0,5354.57,0.0,8.45,0.0,0.0,0.0,0.0,0.0,913.5
4348.58,5029.38,3.92,355.37,132.11,512.82,0.0,4869.77,0.0,8.79,0.0,0.0,0.0,0.0,0.0,926.25
6371.6,6632.93,9.31,360.92,111.06,464.25,0.0,7467.94,0.0,8.41,0.0,80.46,0.0,85.83,83.02,818.16
8706.5,12004.31,11.36,304.21,464.35,542.89,0.0,10902.02,0.0,8.63,0.0,116.19,0.0,119.58,101.42,786.81
11286.66,11351.58,11.81,891.18,478.08,527.43,0.0,14059.38,1060.46,8.29,0.0,6454.98,0.0,7099.79,6277.21,940.39
5289.77,7198.48,7.5,403.59,263.15,489.72,0.0,6355.39,808.15,7.94,0.0,0.0,0.0,0.0,0.0,863.2
5119.27,6474.72,5.28,340.47,82.88,531.35,0.0,5725.19,0.0,9.53,0.0,0.0,0.0,0.0,0.0,805.17
4145.87,3828.76,3.84,409.6,723.4,497.02,0.0,5049.74,0.0,8.0,0.0,0.0,0.0,0.0,0.0,788.97
7877.28,8972.56,8.94,229.45,298.61,488.76,0.0,9193.84,0.0,9.33,0.0,232.95,0.0,255.47,223.84,879.04
3440.85,4086.45,4.45,1028.53,109.02,474.38,0.0,4619.9,1399.33,8.12,0.0,413.27,0.0,412.86,392.66,949.71
3469.98,4259.18,4.53,514.88,110.68,554.32,0.0,4538.56,0.0,7.99,0.0,0.0,0.0,0.0,0.0,924.27
3486.12,4177.19,4.37,461.27,117.77,491.16,0.0,4395.47,0.0,8.12,0.0,54.4,0.0,46.48,48.01,941.42
3895.61,4177.19,4.27,478.21,124.41,485.91,0.0,4946.12,0.0,7.94,0.0,23.66,0.0,23.0,25.28,824.42
